RUTH : ruth
At : At
nangyari : yari
nang : nang
mga : mga
kaarawan : araw
nang : nang
humatol : hatol
ang : ang
mga : mga
hukom, : hukom
na : na
nagkagutom : gutom
sa : sa
lupain : lupa
At : At
isang : isa
lalaking : laki
taga : taga
Beth-lehem-juda : Beth-lehem-juda
ay : ay
yumaong : yao
nakipamayan : kipamay
sa : sa
lupain : lupa
ng : ng
Moab, : Moab,
siya, : siya
at : at
ang : ang
kaniyang : niya
asawa, : asawa
at : at
ang : ang
kaniyang : niya
dalawang : dalawa
anak : anak
na : na
lalake. : lake
At : At
ang : ang
pangalan : alan
ng : ng
lalake : lake
ay : ay
Elimelech, : Elimelech,
at : at
ang : ang
pangalan : alan
ng : ng
kaniyang : niya
asawa : asawa
ay : ay
Noemi, : Noemi,
at : at
ang : ang
pangalan : alan
ng : ng
kaniyang : niya
dalawang : dalawa
anak : anak
ay : ay
Mahalon : Mahalon
at : at
Chelion, : Chelion,
mga : mga
Ephrateo : Ephrateo
na : na
taga : taga
Beth-lehem-juda : Beth-lehem-juda
At : At
sila'y : sila'y
naparoon : roon
sa : sa
lupain : lupa
ng : ng
Moab, : Moab,
at : at
nanirahan : nira
doon. : doon
At : At
si : si
Elimelech : Elimelech
na : na
asawa : asawa
ni : ni
Noemi : Noemi
ay : ay
namatay: : atay
at : at
siya'y : siya'y
naiwan : iwan
at : at
ang : ang
kaniyang : niya
dalawang : dalawa
anak. : anak
At : At
sila'y : sila'y
nagsipagasawa : sipagasawa
sa : sa
mga : mga
babae : babae
sa : sa
Moab; : Moab;
ang : ang
pangalan : alan
ng : ng
isa'y : isa'y
Orpha, : Orpha,
at : at
ang : ang
pangalan : alan
ng : ng
isa'y : isa'y
Ruth: : Ruth:
at : at
sila'y : sila'y
tumahan : tai
doon : doon
na : na
may : may
sangpung : sangpo
taon. : taon
At : At
namatay : atay
kapuwa : puwa
si : si
Mahalon : Mahalon
at : at
si : si
Chelion; : Chelion;
at : at
ang : ang
babae : babae
ay : ay
naiwan : iwan
ng : ng
kaniyang : niya
dalawang : dalawa
anak : anak
at : at
ng : ng
kaniyang : niya
asawa. : asawa
Nang : Nang
magkagayo'y : gayo'y
bumangon : bangon
siya : siya
na : na
kasama : sama
ng : ng
kaniyang : niya
dalawang : dalawa
manugang : uga
upang : upa
siya'y : siya'y
bumalik : balik
mula : mula
sa : sa
lupain : lupa
ng : ng
Moab: : Moab:
sapagka't : sapagka't
kaniyang : niya
nabalitaan : balita
sa : sa
lupain : lupa
ng : ng
Moab : Moab
kung : kung
paanong : ano
dinalaw : dalaw
ng : ng
Panginoon : Panginoon
ang : ang
kaniyang : niya
bayan : bayan
sa : sa
pagbibigay : bigay
sa : sa
kanila : nila
ng : ng
tinapay. : tapay
At : At
siya'y : siya'y
umalis : alis
sa : sa
dakong : dako
kaniyang : niya
kinaroroonan, : roon
at : at
ang : ang
kaniyang : niya
dalawang : dalawa
manugang : uga
na : na
kasama : sama
niya: : niya
at : at
sila'y : sila'y
yumaon : yaon
upang : upa
bumalik : balik
sa : sa
lupain : lupa
ng : ng
Juda. : Juda.
