Salitang-ugat,Pangnagdaan,Pangkasalukuyan,Panghinaharap,Pawatas,Katatapos
abot,nagabot ,nagaabot ,magaabot ,magabot ,kaaabot 
abutin,inabot  ,inaabot  ,aabutin ,abutin , 
agaw,nagagaw ,nagaagaw ,magaagaw ,magagaw ,kaaagaw 
agawin,inagaw ,inaagaw ,aagawin ,agawin , 
akyat,umakyat  ,umaakyat  ,aakyat ,umakyat ,kaaakyat 
akyatin,inakyat  ,inaakyat  ,aakyatin ,akyatin , 
alaga,nagalaga  ,nagaalaga  ,magaalaga ,magalaga ,kaaalaga 
alagaan,inalagaan ,inaalagaan  ,aalagaan ,alagaan , 
alam,umalam ,umaalam ,aalam ,umalam ,kaaalam 
alamin,inalam  ,inaalam  ,aalamin ,alamin , 
alay,nagalay ,nagaalay ,magaalay ,magalay ,kaaalay 
alayan,inalayan ,inaalayan ,aalayan ,alayan , 
alis,umalis  ,umaalis  ,aalis ,umalis ,kaaalis 
alisin,inalis  ,inaalis  ,aalisin ,alisin , 
aliw,nagaliw ,nagaaliw ,magaaliw ,magaliw ,kaaaliw 
aliwin,inaliw ,inaaliw ,aaliwin ,aliwin , 
alok,nagalok ,nagaalok ,magaalok ,magalok ,kaaalok 
alukin,inalok ,inaalok ,aalukin ,alukin , 
amin,nagamin ,nagaamin ,magaamin ,magamin ,kaaamin 
aminin,inamin ,inaamin ,aaminin ,aminin , 
amoy,umamoy ,umaamoy ,aamoy ,umamoy ,kaaamoy 
amuyin,inamoy ,inaamoy ,aamuyin ,amuyin , 
ani,nagani ,nagaani ,magaani ,magani ,kaaani 
anihin,inani ,inaani ,aanihin ,anihin , 
anyaya,naganyaya ,nagaanyaya ,magaanyaya ,maganyaya ,kaaanyaya 
anyayahan,inanyayahan ,inaanyayahan ,aanyayahan ,anyayahan , 
aral,nagaral  ,nagaaral  ,magaaral ,magaral ,kaaaral 
aralin,inaral  ,inaaral ,aaralin ,aralin , 
asa,umasa ,umaasa ,aasa ,umasa ,kaaasa 
asahan,inasahan ,inaasahan ,aasahan ,asahan , 
awit,umawit  ,umaawit  ,aawit ,umawit ,kaaawit 
awitin,inawit  ,inaawit  ,aawitin ,awitin , 
ayos,nagayos  ,nagaayos  ,magaayos ,magayos ,kaaayos 
ayusin,inayos  ,inaaayos  ,aayusin ,ayusin , 
baba,bumaba  ,bumababa  ,bababa ,bumaba ,kabababa 
ibaba,ibinaba ,ibinababa  ,ibababa ,ibaba , 
bago,nagbago ,nagbabago ,magbabago ,magbago ,kababago 
baguhin,binago ,binabago ,babaguhin ,baguhin , 
balik,bumalik ,bumabalik ,babalik ,bumalik ,kababalik 
ibalik,ibinalik ,ibinabalik ,ibabalik ,ibalik , 
balikan,binalikan ,binabalikan ,babalikan ,balikan , 
balot,nagbalot ,nagbabalot ,magbabalot ,magbalot ,kababalot 
balutin,binalot ,binabalot ,babalutin ,balutin , 
bangga,bumangga ,bumabangga ,babangga ,bumangga ,kababangga 
banggain,binangga ,binabangga ,babanggain ,banggain , 
banggitin,binanggit ,binabanggit ,babanggitin ,banggitin , 
bangon,bumangon  ,bumabangon  ,babangon ,bumangon ,kababangon 
ibangon,ibinangon ,ibinabangon ,ibabangon ,ibangon , 
banlaw,nagbanlaw ,nagbabanlaw ,magbabanlaw ,magbanlaw ,kababanlaw 
banlawan,binanlawan ,binabanlawan ,babanlawan ,banlawan , 
bantay,nagbantay ,nagbabantay ,magbabantay ,magbantay ,kababantay 
bantayan,binantayan ,binabantayan ,babantayan ,bantayan , 
basa,nagbasa  ,nagbabasa  ,magbabasa ,magbasa ,kababasa 
basahin,binasa  ,binabasa  ,babasahin ,basahin , 
basag,nagbasag ,nagbabasag ,magbabasag ,magbasag ,kababasag 
basagin,binasag ,binabasag ,babasagin ,basagin , 
bayad,nagbayad  ,nagbabayad  ,magbabayad ,magbayad ,kababayad 
bayaran,binayaran  ,binabayaran  ,babayaran ,bayaran , 
benta,nagbenta  ,nagbebenta  ,magbebenta ,magbenta ,kabebenta 
ibenta,ibinenta  ,ibinibenta  ,ibebenta ,ibenta , 
bigay,nagbigay  ,nagbibigay  ,magbibigay ,magbigay ,kabibigay 
ibigay,ibinigay  ,ibinibigay  ,ibibigay ,ibigay , 
bigyan,binigyan  ,binibigyan  ,bibigyan ,bigyan , 
bihis,nagbihis  ,nagbibihis  ,magbibihis ,magbihis ,kabibihis 
bihisan,binihisan ,binibihisan ,bibihisan ,bihisan , 
bilang,nagbilang ,nagbibilang  ,magbibilang ,magbilang ,kabibilang 
bilangin,binilang ,binibilang ,bibilangin ,bilangin , 
bili,bumili  ,bumibili  ,bibili ,bumili ,kabibili 
bilhin,binili ,binibili ,bibilhin ,bilhin , 
binyag,nagbinyag ,nagbibinyag ,magbibinyag ,magbinyag ,kabibinyag 
binyagan,bininyagan ,binibinyagan ,bibinyagan ,binyagan , 
buhat,nagbuhat ,nagbubuhat ,magbubuhat ,magbuhat ,kabubuhat 
buhatin,binuhat ,binubuhat ,bubuhatin ,buhatin , 
