INPUT,REFERENCE,MACHINE_TRANSLATION,TER_Score,Average TER_Score
asidegakon,malapit na ako,malapit na ako,0.0,
GENESIS,genesis,genesis,0.0,
Ti Aramid ti Dios a Namarsua,nilalang ng dios ang sanglibutan,ang nilalang ang dios na namarsua,80.0,
Idi punganay ti Dios pinarsuana dagiti langlangit ken ti daga,nang pasimula ay nilikha ng dios ang langit at ang lupa,nang punganay ang dios nilikha ang langit sa ang lupain,54.55,
Ket ti daga adda idi a gosogoso ken awan nagyan ket dagiti sipnget addada idi iti rabao ti yuyeng ket ti Espiritu ti Dios nagtignay iti rabao dagiti dandanum,at ang lupa ay walang anyo at walang laman at ang kadiliman ay sumasa ibabaw ng kalaliman at ang espiritu ng dios ay sumasa ibabaw ng tubig,at ang lupain nagkaroon nang na gosogoso sa jacob amorrheo at ang kadiliman niyaon nang sa rabao ang kalaliman at ang espiritu ang dios nagtignay sa rabao ang tubig,66.67,
Ket ti Dios kinunana Adda coma lawag ket nagadda ti lawag,at sinabi ng dios magkaroon ng liwanag at nagkaroon ng liwanag ,at ang dios sinabi nagkaroon ang liwanag at nagkaroon ang liwanag ,45.45,
Ket ti Dios nakitana a ti lawag naimbag ket inlasin ti Dios ti lawag cadagiti sipnget,at nakita ng dios ang liwanag na mabuti at inihiwalay ng dios ang liwanag sa kadiliman,at ang dios nakita na ang liwanag mabuti at inihiwalay ang dios ang liwanag sa kadiliman,31.25,
Ket ti Dios ninaganna ti lawag aldaw ket dagiti sipnget ninagananna ti rabii Ket naadda ti malem ken ti bigat maysa nga aldaw,at tinawag ng dios ang liwanag na araw at tinawag niya ang kadiliman na gabi at nagkahapon at nagkaumaga ang unang araw ,at ang dios tinawag ang liwanag araw at ang kadiliman lupain ang gabi at nagkahapon ang hapon sa ang kinaumagahan isa na araw ,54.55,
Ket ti Dios kinunana adda coma maysa a tangatang iti tengnga dagiti dandanum a pagsisinaan dagiti dandanum cadagiti dandanum,at sinabi ng dios magkaroon ng isang kalawakan sa gitna ng tubig at mahiwalay ang tubig sa kapuwa tubig ,at ang dios sinabi nagkaroon ang isa na kalawakan sa gitna ang tubig na tubig ang tubig sa tubig ,52.63,
Ket ti Dios inaramidna ti tangatang ket insinana dagiti danum nga adda iti baba ti tangatang cadagiti danum nga adda iti rabaw ti tangatang ket naaramid a casta,at ginawa ng dios ang kalawakan at inihiwalay ang tubig na nasa ilalim ng kalawakan sa tubig na nasa itaas ng kalawakan at nagkagayon,at ang dios ginawa ang kalawakan at inihiwalay ang tubig na nagkaroon sa ibaba ang kalawakan sa tubig na nagkaroon sa ibabaw ang kalawakan at nagkagayon,41.67,
Ket ti Dios ninaganna ti tangatang Langit Ket naadda ti malem ken ti bigat aldaw a maicadua,at tinawag ng dios ang kalawakan na langit at nagkahapon at nagkaumaga ang ikalawang araw,at ang dios tinawag ang kalawakan langit at nagkahapon ang hapon sa ang kinaumagahan araw na ikalawang,53.33,
Ket ti Dios kinunana mapagtitipon coma dagiti danum nga adda iti baba dagiti langit iti maysa a disso ket agparang coma ti daga a namaga ket naaramid a casta,at sinabi ng dios mapisan ang tubig na nasa silong ng langit sa isang dako at lumitaw ang katuyuan at nagkagayon,at ang dios sinabi mapisan ang ang tubig na nagkaroon sa ibaba ang langit sa isa dako at gaya ang ang lupain na namaga at nagkagayon na ,66.67,
Ket ti Dios ninagananna ti namaga Daga ket ti nacatiponan dagiti danum ninagananna Tataaw ket ti Dios nakitana a nasayaatda,at tinawag ng dios ang katuyuan na lupa at ang kapisanan ng tubig ay tinawag niyang mga dagat at nakita ng dios na mabuti,at ang dios lupain ang namaga lupain at ang nacatiponan ang tubig lupain tubig at ang dios nakita na nasayaatda,66.67,
Ket ti Dios kinunana Patuboen coma ti daga ti root mulmula nga adda bukelda ken caycayo nga agbunga nga ti bukelda adda cadacuada cas iti casisigudda iti rabaw ti daga ket naaramid a casta,at sinabi ng dios sibulan ang lupa ng damo pananim na nagkakabinhi at punong kahoy na namumunga ayon sa kaniyang pagkakahoy na taglay ang kaniyang binhi sa ibabaw ng lupa at nagkagayon,at ang dios sinabi sibulan ang ang lupain ang damo pananim na nagkaroon pagkakahoy sa kahoy na magpalaanakin na ang pagkakahoy nagkaroon kanila at sa kaniyang sa ibabaw ang lupain at nagkagayon,56.25,
Ket pinataud ti daga ti root mulmula nga addaan bukel a mayannatup iti casisigudda ken caycayo nga agbunga a ti bukel adda cadacuada cas ti casisigudda ket ti Dios nakitana a nasayaatda,at ang lupa ay sinibulan ng damo pananim na nagkakabinhi ayon sa kaniyang pagkapananim at ng punong kahoy na namumunga na taglay ang kaniyang binhi ayon sa kaniyang pagkakahoy at nakita ng dios na mabuti,at pinataud ang lupain ang damo pananim na may kaniyang na kaniyang sa casisigudda sa kahoy na magpalaanakin na ang kaniyang nagkaroon kanila at ang kaniyang at ang dios nakita na nasayaatda,60.0,
Ket naadda ti malem ken ti bigat aldaw a maicatlo,at nagkahapon at nagkaumaga ang ikatlong araw,at nagkahapon ang hapon sa ang kinaumagahan araw na ikatlong,85.71,
Ket ti Dios kinunana Adda coma dagiti silsilaw iti tangatang dagiti langit tapno aglasin ti aldaw ken ti rabii ket maipaayda coma a cas pagilaslasinan ken panpanawen alaldaw ken tawtawen,at sinabi ng dios magkaroon ng mga tanglaw sa kalawakan ng langit upang maghiwalay ng araw sa gabi at maging pinakatanda at pinakabahagi ng panahon ng mga araw at ng mga taon,at ang dios sinabi nagkaroon ang ang kalawakan sa kalawakan ang langit upang aglasin ang araw sa ang gabi at pinakatanglaw ang na at pagilaslasinan sa panpanawen alaldaw sa taon,68.75,
Ket maipaayda coma a silsilaw iti tangatang dagiti langit a manglawag iti daga ket naaramid a casta,at maging pinakatanglaw sa kalawakan ng langit upang tumanglaw sa ibabaw ng lupa at nagkagayon,at pinakatanglaw ang kalawakan sa kalawakan ang langit na manglawag sa lupain at nagkagayon na ,66.67,
Ket ti Dios inaramidna dagiti dua a silsilaw a dadackel ti silaw a dacdackel tapno aggundaway iti aldaw ket ti silaw a basbassit tapno aggundaway iti rabii inaramidna met dagiti bitbitwen,at nilikha ng dios ang dalawang malaking tanglaw ang malaking tanglaw ay upang magpuno sa araw at ang maliit na tanglaw ay upang magpuno sa gabi nilikha rin niya ang mga bituin,at ang dios ginawa ang dalawa na kalawakan na bayang ang ilawan na bansang upang magpuno sa araw at ang ilawan na basbassit upang magpuno sa gabi ginawa din ang bituin,56.25,
Ket ti Dios insaadna ida iti tangatang dagiti langit tapno lawaganda ti rabaw ti daga,at mga inilagay ng dios sa kalawakan ng langit upang tumanglaw sa ibabaw ng lupa,at ang dios ipinatong sila sa kalawakan ang langit upang tumanglaw ang ibabaw ang lupain,53.33,
Ken tapno aggundaway iti aldaw ken iti rabii ken tapno aglasin ti lawag ken sipnget ket ti Dios nakitana a nasayaatda,at upang magpuno sa araw at sa gabi at upang maghiwalay ng liwanag sa kadiliman at nakita ng dios na mabuti,sa upang magpuno sa araw sa sa gabi sa upang aglasin ang liwanag sa kadiliman at ang dios nakita na nasayaatda,38.1,
Ket naadda ti malem ken ti bigat aldaw a maicapat,at nagkahapon at nagkaumaga ang ikaapat na araw,at nagkahapon ang hapon sa ang kinaumagahan araw na ikaapat,75.0,
Ket ti Dios kinunana agpangen coma cadagiti dandanum dagiti parsua a nabiag ken agtayab dagiti tumatayab iti ngato ti daga iti tangatang dagiti langit,at sinabi ng dios bukalan ng sagana ang tubig ng mga gumagalaw na kinapal na may buhay at magsilipad ang mga ibon sa itaas ng lupa sa luwal na kalawakan ng himpapawid,at ang dios sinabi bukalan ang sa tubig ang may na may sa agtayab ang ibon sa ibabaw ang lupain sa kalawakan ang langit,65.62,
Ket ti Dios pinarsuana dagiti dadackel nga animal ti taaw ken isuamin a kita a nabiag nga aggaraw a nagpangenda cas ti casisigudda cadagiti danum ken amin a tumatayab a nagpayac cas iti casisigudda ket ti Dios nakitana a nasayaatda,at nilikha ng dios ang malalaking hayop sa dagat at ang bawat may buhay na kinapal na gumagalaw na ibinukal na sagana ng tubig ayon sa kanikaniyang uri at ang lahat na may pakpak na ibon ayon sa kanikaniyang uri at nakita ng dios na mabuti,at ang dios nilikha ang bayang na hayop ang dagat sa isuamin na lalake na may na nabubuhay na nagpangenda at ang casisigudda sa tubig sa lahat na ibon na may at sa kaniyang at ang dios nakita na nasayaatda,63.04,
Ket ti Dios binendicionanna ida a cunana Agbungacayo coma ket agaducayo ket punnoenyo dagiti danum dagiti taaw ket dagiti tumatayab agaduda coma iti daga,at mga binasbasan ng dios na sinabi kayoy magpalaanakin at magpakarami at inyong punuin ang tubig sa mga dagat at magpakarami ang mga ibon sa lupa,at ang dios binasbasan sila na panginoon magpalaanakin ang at magpakarami at punuin ang tubig ang dagat at ang ibon magpakarami ang sa lupain,46.15,
Ket naadda ti malem ken ti bigat aldaw a maicalima,at nagkahapon at nagkaumaga ang ikalimang araw,at nagkahapon ang hapon sa ang kinaumagahan araw na ikalimang,85.71,
Ket ti Dios kinunana Patauden coma ti daga dagiti parsua a nabiag cas iti cakikitada ananimal ken agcarcarayam ken agcacarungsot iti daga cas iti cakikitada ket naaramid a casta,at sinabi ng dios bukalan ang lupa ng mga may buhay na kinapal ayon sa kanikaniyang uri ng hayop at ng mga kinapal na umuusad at ng mga ganid sa lupa ayon sa kanikaniyang uri at nagkagayon,at ang dios sinabi bukalan ang ang nagpahingang ang may may at sa cakikitada ananimal sa umuusad sa agcacarungsot sa lupain at sa cakikitada at nagkagayon na,70.27,
Ket ti Dios inaramidna dagiti agcacarungsot iti daga cas iti casisigudda ken ananimal cas iti cakikitada ken isuamin nga aguyuyas iti daga cas iti casisigudda ket ti Dios nakitana a nasayaatda,at nilikha ng dios ang ganid sa lupa ayon sa kaniyang uri at ang hayop ayon sa kaniyang uri at ang bawat umuusad sa ibabaw ng lupa ayon sa kanikaniyang uri at nakita ng dios na mabuti,at ang dios ginawa ang ganid sa lupain at sa casisigudda sa ananimal at sa cakikitada sa isuamin na aguyuyas sa lupain at sa casisigudda at ang dios nakita na nasayaatda,67.57,
