INPUT,REFERENCE,MACHINE_TRANSLATION,BLEU_SCORE,BREV_PEN
GENESIS,genesis,genesis,1.0,[]
Nilalang ng Dios ang sanglibutan,ti aramid ti dios a namarsua,aramid ti dios ti namarsua,0.8337747156634558,[]
Nang pasimula ay nilikha ng Dios ang langit at ang lupa,idi punganay ti dios pinarsuana dagiti langlangit ken ti daga,idi pasimula a pinarsuana ti dios ti langit ket ti daga,0.659150247966946,[]
At ang lupa ay walang anyo at walang laman at ang kadiliman ay sumasa ibabaw ng kalaliman at ang Espiritu ng Dios ay sumasa ibabaw ng tubig,ket ti daga adda idi a gosogoso ken awan nagyan ket dagiti sipnget addada idi iti rabao ti yuyeng ket ti espiritu ti dios nagtignay iti rabao dagiti dandanum,ket ti daga a maysa caasping ket maysa lasag ket ti sipnget a idi ibabaw ti taaw ket ti espiritu ti dios a idi ibabaw ti danum,0.4999522335435422,[]
At sinabi ng Dios Magkaroon ng liwanag at nagkaroon ng liwanag,ket ti dios kinunana adda coma lawag ket nagadda ti lawag ,ket kinunana ti dios adda ti lawag ket adda ti lawag ,0.7752018048890127,[]
At nakita ng Dios ang liwanag na mabuti at inihiwalay ng Dios ang liwanag sa kadiliman,ket ti dios nakitana a ti lawag naimbag ket inlasin ti dios ti lawag cadagiti sipnget,ket nakitana ti dios ti lawag a mabuti ket inlasin ti dios ti lawag iti sipnget,0.7964710684543488,[]
At tinawag ng Dios ang liwanag na Araw at tinawag niya ang kadiliman na Gabi At nagkahapon at nagkaumaga ang unang araw,ket ti dios ninaganna ti lawag aldaw ket dagiti sipnget ninagananna ti rabii ket naadda ti malem ken ti bigat maysa nga aldaw ,ket inayabanna ti dios ti lawag a maicasiam ket inayabanna kencuana ti sipnget a gabi ket naadda ket nagkaumaga ti umuna aldaw,0.6218139745012375,[]
At sinabi ng Dios Magkaroon ng isang kalawakan sa gitna ng tubig at mahiwalay ang tubig sa kapuwa tubig,ket ti dios kinunana adda coma maysa a tangatang iti tengnga dagiti dandanum a pagsisinaan dagiti dandanum cadagiti dandanum ,ket kinunana ti dios adda ti maysa kalawakan iti gitna ti danum ket mahiwalay ti danum iti tao tubig,0.4492382450656541,[]
At ginawa ng Dios ang kalawakan at inihiwalay ang tubig na nasa ilalim ng kalawakan sa tubig na nasa itaas ng kalawakan at nagkagayon,ket ti dios inaramidna ti tangatang ket insinana dagiti danum nga adda iti baba ti tangatang cadagiti danum nga adda iti rabaw ti tangatang ket naaramid a casta,ket inaramidna ti dios ti tangatang ket inlasin ti danum a iti ilalim ti tangatang iti tubig a iti itaas ti tangatang ket naaramid a casta,0.6700093031624779,[]
At tinawag ng Dios ang kalawakan na Langit At nagkahapon at nagkaumaga ang ikalawang araw,ket ti dios ninaganna ti tangatang langit ket naadda ti malem ken ti bigat aldaw a maicadua,ket inayabanna ti dios ti tangatang a langit ket naadda ket nagkaumaga ti maicadua aldaw,0.737037059339288,[]
At sinabi ng Dios Mapisan ang tubig na nasa silong ng langit sa isang dako at lumitaw ang katuyuan at nagkagayon,ket ti dios kinunana mapagtitipon coma dagiti danum nga adda iti baba dagiti langit iti maysa a disso ket agparang coma ti daga a namaga ket naaramid a casta,ket kinunana ti dios mapagtitipon ti danum a iti silong ti langit iti maysa disso ket nagparang ti katuyuan ket naaramid a casta,0.6489458934126237,[]
At tinawag ng Dios ang katuyuan na Lupa at ang kapisanan ng tubig ay tinawag niyang mga Dagat at nakita ng Dios na mabuti,ket ti dios ninagananna ti namaga daga ket ti nacatiponan dagiti danum ninagananna tataaw ket ti dios nakitana a nasayaatda,ket inayabanna ti dios ti katuyuan a lupa ket ti gimong ti danum a inayabanna isu dagiti taaw ket nakitana ti dios a mabuti,0.6046440255346625,[]
At sinabi ng Dios Sibulan ang lupa ng damo pananim na nagkakabinhi at punong kahoy na namumunga ayon sa kaniyang pagkakahoy na taglay ang kaniyang binhi sa ibabaw ng lupa at nagkagayon,ket ti dios kinunana patuboen coma ti daga ti root mulmula nga adda bukelda ken caycayo nga agbunga nga ti bukelda adda cadacuada cas iti casisigudda iti rabaw ti daga ket naaramid a casta,ket kinunana ti dios patuboen ti daga ti root asideg a adda ket punong cayo a namumunga ayon iti isu bukelda a adda ti isu agyanto iti ibabaw ti lupa ket naaramid a casta,0.6281746805148992,[]
At ang lupa ay sinibulan ng damo pananim na nagkakabinhi ayon sa kaniyang pagkapananim at ng punong kahoy na namumunga na taglay ang kaniyang binhi ayon sa kaniyang pagkakahoy at nakita ng Dios na mabuti,ket pinataud ti daga ti root mulmula nga addaan bukel a mayannatup iti casisigudda ken caycayo nga agbunga a ti bukel adda cadacuada cas ti casisigudda ket ti dios nakitana a nasayaatda,ket ti daga a sinibulan ti root asideg a adda ayon iti isu pagkapananim ket ti punong cayo a namumunga a adda ti isu agnanayon ayon iti isu bukelda ket nakitana ti dios a mabuti,0.5309822674433028,[]
At nagkahapon at nagkaumaga ang ikatlong araw,ket naadda ti malem ken ti bigat aldaw a maicatlo,ket naadda ket nagkaumaga ti maicatlo aldaw,0.5964909290366202,[]
At sinabi ng Dios Magkaroon ng mga tanglaw sa kalawakan ng langit upang maghiwalay ng araw sa gabi at maging pinakatanda at pinakabahagi ng panahon ng mga araw at ng mga taon,ket ti dios kinunana adda coma dagiti silsilaw iti tangatang dagiti langit tapno aglasin ti aldaw ken ti rabii ket maipaayda coma a cas pagilaslasinan ken panpanawen alaldaw ken tawtawen,ket kinunana ti dios adda ti dagiti silaw iti tangatang ti langit tapno maghiwalay ti aldaw iti rabii ket maging pinakatanda ket pinakabahagi ti panahon ti dagiti aldaw ket ti dagiti tawen,0.6483815113928119,[]
At maging pinakatanglaw sa kalawakan ng langit upang tumanglaw sa ibabaw ng lupa at nagkagayon,ket maipaayda coma a silsilaw iti tangatang dagiti langit a manglawag iti daga ket naaramid a casta,ket maging pinakatanglaw iti tangatang ti langit tapno lawaganda iti ibabaw ti daga ket naaramid a casta,0.6821959742168123,[]
At nilikha ng Dios ang dalawang malaking tanglaw ang malaking tanglaw ay upang magpuno sa araw at ang maliit na tanglaw ay upang magpuno sa gabi nilikha rin niya ang mga bituin,ket ti dios inaramidna dagiti dua a silsilaw a dadackel ti silaw a dacdackel tapno aggundaway iti aldaw ket ti silaw a basbassit tapno aggundaway iti rabii inaramidna met dagiti bitbitwen,ket pinarsuana ti dios ti nayon malaking silaw ti malaking silaw a tapno aggundaway iti aldaw ket ti puec a silaw a tapno aggundaway iti rabii pinarsuana rin kencuana ti dagiti langit,0.6382635652091709,[]
At mga inilagay ng Dios sa kalawakan ng langit upang tumanglaw sa ibabaw ng lupa,ket ti dios insaadna ida iti tangatang dagiti langit tapno lawaganda ti rabaw ti daga,ket dagiti inilagay ti dios iti tangatang ti langit tapno lawaganda iti ibabaw ti daga,0.8127591779830254,[]
At upang magpuno sa araw at sa gabi at upang maghiwalay ng liwanag sa kadiliman at nakita ng Dios na mabuti,ken tapno aggundaway iti aldaw ken iti rabii ken tapno aglasin ti lawag ken sipnget ket ti dios nakitana a nasayaatda,ket tapno aggundaway iti aldaw ket iti rabii ket tapno maghiwalay ti lawag iti sipnget ket nakitana ti dios a mabuti,0.7422437956680992,[]
At nagkahapon at nagkaumaga ang ikaapat na araw,ket naadda ti malem ken ti bigat aldaw a maicapat,ket naadda ket nagkaumaga ti maicapat a aldaw,0.6318136041192621,[]
At sinabi ng Dios Bukalan ng sagana ang tubig ng mga gumagalaw na kinapal na may buhay at magsilipad ang mga ibon sa itaas ng lupa sa luwal na kalawakan ng himpapawid,ket ti dios kinunana agpangen coma cadagiti dandanum dagiti parsua a nabiag ken agtayab dagiti tumatayab iti ngato ti daga iti tangatang dagiti langit,ket kinunana ti dios agpangen ti daga ti danum ti dagiti nabiag a lasag a maysa napasardeng ket magsilipad ti dagiti tumatayab iti itaas ti daga iti siac a kalawakan ti amin,0.5768738000360839,[]
At nilikha ng Dios ang malalaking hayop sa dagat at ang bawat may buhay na kinapal na gumagalaw na ibinukal na sagana ng tubig ayon sa kanikaniyang uri at ang lahat na may pakpak na ibon ayon sa kanikaniyang uri at nakita ng Dios na mabuti,ket ti dios pinarsuana dagiti dadackel nga animal ti taaw ken isuamin a kita a nabiag nga aggaraw a nagpangenda cas ti casisigudda cadagiti danum ken amin a tumatayab a nagpayac cas iti casisigudda ket ti dios nakitana a nasayaatda,ket pinarsuana ti dios ti dadackel an iti taaw ket ti tunggal may napasardeng a kinapal a gumagalaw a ibinukal a sagana ti danum ayon iti kanikaniyang uri ket ti amin a maysa agcaradap a ibon ayon iti kanikaniyang uri ket nakitana ti dios a mabuti,0.514718462822185,[]
