INPUT,REFERENCE,MACHINE_TRANSLATION,TER_Score,Average TER_Score
Ti Aramid ti Dios a Namarsua,nilalang ng dios ang sanglibutan,ang nilalang ang dios na namarsua,80.0,
Ket naadda ti malem ken ti bigat aldaw a maicatlo,at nagkahapon at nagkaumaga ang ikatlong araw,at nagkahapon ang hapon sa ang kinaumagahan araw na ikatlong,85.71,
Ket naadda ti malem ken ti bigat aldaw a maicapat,at nagkahapon at nagkaumaga ang ikaapat na araw,at nagkahapon ang hapon sa ang kinaumagahan araw na ikaapat,75.0,
Ket naadda ti malem ken ti bigat aldaw a maicalima,at nagkahapon at nagkaumaga ang ikalimang araw,at nagkahapon ang hapon sa ang kinaumagahan araw na ikalimang,85.71,
Ket ti Dios kinunana Patauden coma ti daga dagiti parsua a nabiag cas iti cakikitada ananimal ken agcarcarayam ken agcacarungsot iti daga cas iti cakikitada ket naaramid a casta,at sinabi ng dios bukalan ang lupa ng mga may buhay na kinapal ayon sa kanikaniyang uri ng hayop at ng mga kinapal na umuusad at ng mga ganid sa lupa ayon sa kanikaniyang uri at nagkagayon,at ang dios sinabi bukalan ang ang nagpahingang ang may may at sa cakikitada ananimal sa umuusad sa agcacarungsot sa lupain at sa cakikitada at nagkagayon na,70.27,
Ket binendicionan ti Dios ti aldaw a maicapito ket sinantificarna agsipud ta kencuana ti naginanaanna cadagiti amin a gapuanan a ti Dios pinarsuana ken inaramidna,at binasbasan ng dios ang ikapitong araw at kaniyang ipinangilin sapagkat siyang ipinagpahinga ng dios sa madlang gawang kaniyang nilikha at ginawa,at pinagpala ang dios ang araw na ikapitong at sinantificarna at at kaniya ang ipinagpahinga sa lahat na kaniyang na ang dios nilikha sa niya,81.82,
Dagitoy isuda ti capupunganay dagiti langit ken ti daga idi a naparsuada iti aldaw a pinangaramid ni Jehova a Dios ti daga ken ti langit,ito ang pinangyarihan ng langit at ng lupa nang likhain noong araw na gawin ng panginoong dios ang lupat langit ,ito ito ang capupunganay ang langit sa ang lupain nang na naparsuada sa araw na pinangaramid si panginoon na dios ang lupain sa ang langit ,80.0,
Ket idi awan pay la ti mula ti langalang iti daga ket awan pay ti roroot a timmubo ta di pay pinagtudo ni Jehova Dios iti rabaw ti daga ken awan pay la idi ti tao a mangtalon iti daga,at wala pa sa lupang kahoy sa parang at wala pang anomang pananim na tumutubo sa parang sapagkat hindi pa pinauulanan ng panginoong dios ang lupa at wala pang taong magbukid ng lupa ,at nang namay pa hindi ang mula ang giba sa lupain at namay pa ang roroot na sapagkat at baka pa pinauulanan si panginoon dios sa ibabaw ang lupain sa jacob pa hindi nang ang tao na mangtalon sa lupain ,93.94,
Ti nagan ti umuna Pishon daytoy isu ti manglawlaw iti amin ti daga ti Havila isa a yan ti balitoc,ang pangalan ng una ay pison na siyang lumiligid sa buong lupain ng havilah na dooy may ginto,ang pangalan ang una una ito kaniyang ang siyang sa lahat ang lupain ang havila isa na dako ang ginto,72.22,
Ket ti balitoc iti daydiay a daga nasayaat adda idiay dagiti batbato a bedelio ken onix,at ang ginto sa lupang yaoy mabuti mayroon din naman doong bedelio at batong onix,at ang ginto sa kaniyang na lupain bahay nagkaroon sa ang bato na bedelio sa onix,73.33,
Ngem ti aggapu iti cayo ti pannacaammo ti imbag ken ti dakes saanmonto a canen ta iti aldaw a pannanganmo iti daydiay mataycanto a di bumurong,datapuwat sa kahoy ng pagkakilala ng mabuti at masama ay huwag kang kakain sapagkat sa araw na ikaw ay kumain niyaon ay walang pagsalang mamamatay ka,ngunit ang pinagbilhan sa kahoy ang pagkakilala ang kaawaan sa ang masama manata na lumabas at sa araw na kumain sa kaniyang mamamatay na hindi pagsala,80.77,
