INPUT,REFERENCE,MACHINE_TRANSLATION,TER_Score,Average TER_Score
At sinabi ng Dios Magkaroon ng isang kalawakan sa gitna ng tubig at mahiwalay ang tubig sa kapuwa tubig,ket ti dios kinunana adda coma maysa a tangatang iti tengnga dagiti dandanum a pagsisinaan dagiti dandanum cadagiti dandanum ,ket kinunana ti dios adda ti maysa kalawakan iti gitna ti danum ket mahiwalay ti danum iti tao tubig,73.68,
At ang lupa ay sinibulan ng damo pananim na nagkakabinhi ayon sa kaniyang pagkapananim at ng punong kahoy na namumunga na taglay ang kaniyang binhi ayon sa kaniyang pagkakahoy at nakita ng Dios na mabuti,ket pinataud ti daga ti root mulmula nga addaan bukel a mayannatup iti casisigudda ken caycayo nga agbunga a ti bukel adda cadacuada cas ti casisigudda ket ti dios nakitana a nasayaatda,ket ti daga a sinibulan ti root asideg a adda ayon iti isu pagkapananim ket ti punong cayo a namumunga a adda ti isu agnanayon ayon iti isu bukelda ket nakitana ti dios a mabuti,78.12,
At sinabi ng Dios Bukalan ng sagana ang tubig ng mga gumagalaw na kinapal na may buhay at magsilipad ang mga ibon sa itaas ng lupa sa luwal na kalawakan ng himpapawid,ket ti dios kinunana agpangen coma cadagiti dandanum dagiti parsua a nabiag ken agtayab dagiti tumatayab iti ngato ti daga iti tangatang dagiti langit,ket kinunana ti dios agpangen ti daga ti danum ti dagiti nabiag a lasag a maysa napasardeng ket magsilipad ti dagiti tumatayab iti itaas ti daga iti siac a kalawakan ti amin,83.33,
At nilikha ng Dios ang malalaking hayop sa dagat at ang bawat may buhay na kinapal na gumagalaw na ibinukal na sagana ng tubig ayon sa kanikaniyang uri at ang lahat na may pakpak na ibon ayon sa kanikaniyang uri at nakita ng Dios na mabuti,ket ti dios pinarsuana dagiti dadackel nga animal ti taaw ken isuamin a kita a nabiag nga aggaraw a nagpangenda cas ti casisigudda cadagiti danum ken amin a tumatayab a nagpayac cas iti casisigudda ket ti dios nakitana a nasayaatda,ket pinarsuana ti dios ti dadackel an iti taaw ket ti tunggal may napasardeng a kinapal a gumagalaw a ibinukal a sagana ti danum ayon iti kanikaniyang uri ket ti amin a maysa agcaradap a ibon ayon iti kanikaniyang uri ket nakitana ti dios a mabuti,75.0,
At sinabi ng Dios Bukalan ang lupa ng mga may buhay na kinapal ayon sa kanikaniyang uri ng hayop at ng mga kinapal na umuusad at ng mga ganid sa lupa ayon sa kanikaniyang uri at nagkagayon,ket ti dios kinunana patauden coma ti daga dagiti parsua a nabiag cas iti cakikitada ananimal ken agcarcarayam ken agcacarungsot iti daga cas iti cakikitada ket naaramid a casta,ket kinunana ti dios agpangen ti daga ti dagiti sangapulo napasardeng a kinapal ayon iti kanikaniyang uri ti an ket ti dagiti lasag a umuusad ket ti dagiti canen iti daga ayon iti kanikaniyang uri ket naaramid a casta,86.21,
At nilikha ng Dios ang ganid sa lupa ayon sa kaniyang uri at ang hayop ayon sa kaniyang uri at ang bawat umuusad sa ibabaw ng lupa ayon sa kanikaniyang uri at nakita ng Dios na mabuti,ket ti dios inaramidna dagiti agcacarungsot iti daga cas iti casisigudda ken ananimal cas iti cakikitada ken isuamin nga aguyuyas iti daga cas iti casisigudda ket ti dios nakitana a nasayaatda,ket pinarsuana ti dios ti canen iti daga ayon iti isu uri ket ti an ayon iti isu uri ket ti tunggal aguy iti ibabaw ti daga ayon iti kanikaniyang uri ket nakitana ti dios a mabuti,77.42,
At sinabi ng Dios Lalangin natin ang tao sa ating larawan ayon sa ating wangis at magkaroon sila ng kapangyarihan sa mga isda sa dagat at sa mga ibon sa himpapawid at sa mga hayop at sa buong lupa at sa bawat umuusad na nagsisiusad sa ibabaw ng lupa,ket ti dios kinunana aramidentayo coma ti tao iti ladawantayo cas caaspingtayo ket iturayanda coma dagiti icican ti taaw ken dagiti tumatayab cadagiti langit ken dagiti ananimal ken ti amin a daga ken dagiti amin nga agcarcarayam nga aguyuyas iti rabaw ti daga ,ket kinunana ti dios aramidentayo gubat ti tao iti aramidentayo david ayon iti aramidentayo pannacaparsuada ket adda ida ti panangituray iti dagiti ican iti taaw ket iti dagiti tumatayab iti amin ket iti dagiti an ket iti buong daga ket iti tunggal macarugit a cadacayo iti ibabaw ti daga ,74.42,
At nilalang ng Dios ang tao ayon sa kaniyang sariling larawan ayon sa larawan ng Dios siya nilalang nilalang niya sila na lalake at babae,ket ti dios pinarsuana ti tao a caladawanna met laeng iti ladawan ti dios pinarsuana pinarsuana ida a lalaki ken babai,ket aramid ti dios ti tao ayon iti isu sariling david ayon iti david ti dios isu aramid aramid kencuana ida a lalake ket babae,76.19,
At sinabi ng Dios Narito ibinigay ko sa inyo ang bawat pananim na nagkakabinhi na nasa ibabaw ng balat ng lupa at ang bawat punong kahoy na may bunga ng punong kahoy na nagkakabinhi sa inyoy magiging pagkain,ket ti dios kinunana adtoy iniccancayo iti isuamin a roroot nga addan bukel nga adda iti rabaw ti amin a daga ken isuamin a cayo nga addaan bunga nga agpataud ti bini maipaaydanto a canenyo,ket kinunana ti dios narito ibinigay ko iti jehova ti tunggal asideg a adda a iti ibabaw ti balat ti daga ket ti tunggal punong cayo a maysa bunga ti punong cayo a adda iti siac magiging canen,82.86,
At nayari ang langit at ang lupa at ang lahat na natatanaw sa mga iyon,ket nalpasen dagiti langit ken ti daga ken amin nga orornosna,ket nalpasen ti langit ket ti daga ket ti amin a agpaay iti dagiti jehova,81.82,
At binasbasan ng Dios ang ikapitong araw at kaniyang ipinangilin sapagkat siyang ipinagpahinga ng Dios sa madlang gawang kaniyang nilikha at ginawa,ket binendicionan ti dios ti aldaw a maicapito ket sinantificarna agsipud ta kencuana ti naginanaanna cadagiti amin a gapuanan a ti dios pinarsuana ken inaramidna,ket binendicionanna ti dios ti maicapito aldaw ket isu ipinangilin adda isu ipinagpahinga ti dios iti madlang gawang isu nilikha ket ginawa,72.0,
At naglagay ang Panginoong Dios ng isang halamanan sa Eden sa dakong silanganan at inilagay niya roon ang taong kaniyang nilalang,ket ni jehova dios incabilna iti maysa a minuyongan iti daya idiay eden ket insaadna idiay ti tao a binukelna,ket incabilna ti panginoong dios ti maysa minuyongan iti eden iti dakong daya ket incabilna kencuana roon ti maysa isu nilalang,75.0,
At may isang ilog na lumabas sa Eden na dumilig sa halamanan at mula rooy nabahagi at nagapat na sanga,ket nagayus idiay eden ti maysa a carayan a mangsibug iti minuyongan ket nanipud idiay nagcappat ti ayusna,ket may maysa carayan a agpadpada iti eden a dumilig iti minuyongan ket mula rooy nabahagi ket nagapat a sanga,77.78,
At iniutos ng Panginoong Dios sa lalake na sinabi Sa lahat ng punong kahoy sa halamanan ay makakakain ka na may kalayaan,ket ni jehova dios imbilinna idi tao a kinunana cadagiti amin a cayo iti minuyongan mangancanto a siwayawaya,ket imbilinna ti panginoong dios iti lalake a kinunana iti amin ti punong mangancanto iti minuyongan a daytoy jehova a maysa kalayaan,77.78,
Datapuwat sa kahoy ng pagkakilala ng mabuti at masama ay huwag kang kakain sapagkat sa araw na ikaw ay kumain niyaon ay walang pagsalang mamamatay ka,ngem ti aggapu iti cayo ti pannacaammo ti imbag ken ti dakes saanmonto a canen ta iti aldaw a pannanganmo iti daydiay mataycanto a di bumurong,datapuwat iti cayo ti pagkakilala ti dakes ket capuonan a dicayto kang isu sapagkat iti aldaw a sica a mangan adda a maysa pagsalang mataycanto jehova,76.92,
At sinabi ng Panginoong Dios Hindi mabuti na ang lalake ay magisa siyay ilalalang ko ng isang katulong niya,ket ni jehova dios kinunana saan a nasayaat nga agmaymaysa ti tao yaramidacto ti catulonganna a maitutop kencuana,ket kinunana ti panginoong dios hindi mabuti a ti lalaki a jacob isu ilalalang catulonganna ti maysa katulong kencuana,77.78,
At nilalang ng Panginoong Dios sa lupa ang lahat ng hayop sa parang at ang lahat ng ibon sa himpapawid at pinagdadala sa lalake upang maalaman kung anong itatawag niya sa mga iyon at ang bawat itinawag ng lalake sa bawat kinapal na may buhay ay yaon ang naging pangalan niyaon,ni jehova dios binukelna iti daga amin nga ananimal iti daga ken amin a tumatayab cadagiti langit ket inyegna ida iti tao tapno makitana no casano ti panangpanaganna cadacuada ket cas ti pinangnagan ti tao iti amin a parsua a sibibiag dayta isu ti naganna,ket aramid ti panginoong dios iti daga ti amin ti an iti parang ket ti amin ti tumatayab iti amin ket capitan iti lalaki tapno maalaman mata anong itatawag kencuana iti dagiti jehova ket ti tunggal nanaganan ti lalaki iti tunggal lasag a maysa napasardeng a tiempo ti pinutotna nagan niyaon,84.44,
At hinulugan ng Panginoong Dios ng di kawasang himbing ang lalake at siyay natulog at kinuha ang isa sa kaniyang mga tadyang at pinapaghilom ang laman sa dakong yaon,ket ni jehova dios immapayna ti nargaan a turog iti tao ket nacaturog ket innalana ti maysa cadagiti paragpagna ket ti nangalaanna rinipcanna ti lasag,ket hinulugan ti panginoong dios ti ulbod kawasang himbing ti lalaki ket isu natulog ket innalana ti maysa iti isu dagiti nangalaanna ket pinapaghilom ti lasag iti dakong tiempo,80.0,
